ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 005-1.tif;142;252200.89;1.776.063;14.943;0.803;0.936
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 006-1.tif;156;191.660.884;1.228.595;11.356;0.812;0.935
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 001-1.tif;41;40.989.792;999.751;8.699;0.558;0.886
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 002-1.tif;37;51.827.556;1.400.745;10.999;0.549;0.894
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 003-1.tif;36;70.053.381;1.945.927;14.866;0.568;0.899
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 004-1.tif;26;62.068.449;2.387.248;13.172;0.641;0.942
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 005-1.tif;19;55.130.333;2.901.596;11.7;0.633;0.928
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 006-1.tif;48;62.443.887;1.300.914;13.252;0.649;0.907
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 007-1.tif;35;67.455.281;1.927.294;14.315;0.56;0.914
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 008-1.tif;44;69.415.719;1577.63;14.731;0.519;0.899
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 009-1.tif;40;65.357.073;1.633.927;13.87;0.568;0.907
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 010-1.tif;66;64.945.838;984.028;13.783;0.6;0.893
Tipuana tipu;Tipuana tipu 2;Tipuana tipu - VSB26 x10 006-1.tif;52;126.822.823;2438.9;26.914;0.69;0.898
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 007-1.tif;28;94.935.953;3390.57;20.147;0.726;0.96
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 009-1.tif;39;119.009.792;3.051.533;25.256;0.744;0.941
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 010-1.tif;29;120906.13;4.169.177;25.658;0.752;0.967
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 011-1.tif;27;98.469.735;3.647.027;20.897;0.71;0.966
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 001-1.tif;17;77.394.824;4.552.637;16.424;0.798;0.971
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 002-1.tif;54;85.889.221;1.590.541;18.227;0.756;0.945
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 003-1.tif;34;96.821.885;2.847.703;20.547;0.762;0.961
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 004-1.tif;32;104.986.629;3.280.832;22.28;0.75;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 005-1.tif;32;95050;2.970.312;20.171;0.76;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 001-1.tif;21;35.785.684;1704.08;7.594;0.761;0.954
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 002-1.tif;19;33267.5;1.750.921;7.06;0.771;0.956
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 003-1.tif;18;30139.54;1.674.419;6.396;0.801;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 004-1.tif;13;30.516.227;2.347.402;6.476;0.835;0.965
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 005-1.tif;9;20.386.052;2.265.117;4.326;0.683;0.887
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 006-1.tif;25;62.140.456;2.485.618;13.187;0.837;0.968
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 007-1.tif;12;32291.86;2.690.988;6.853;0.781;0.948
