ssp,indiv,Label,Area,Circ.,%Area,AR,Round,Solidity
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,463.267,0.874,99.82,1.331,0.751,0.962
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,154.839,0.765,100,1.871,0.535,0.935
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,575.233,0.847,99.855,1.331,0.751,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,504.474,0.851,99.752,1.466,0.682,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,184.807,0.913,96.171,1.348,0.742,0.955
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,762.538,0.776,97.216,1.74,0.575,0.954
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,176.899,0.863,100,1.623,0.616,0.945
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,343.808,0.87,99.637,1.392,0.719,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,686.368,0.84,99.697,1.309,0.764,0.96
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,575.65,0.891,99.566,1.1,0.909,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,144.433,0.561,100,3.318,0.301,0.878
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,462.018,0.713,99.73,1.338,0.748,0.937
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,906.138,0.784,99.633,1.446,0.692,0.963
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,782.934,0.87,100,1.061,0.943,0.962
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,803.329,0.745,99.896,1.953,0.512,0.951
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,170.655,0.813,100,1.737,0.576,0.936
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,628.095,0.838,96.289,1.063,0.941,0.963
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,655.983,0.792,99.302,1.17,0.855,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,844.536,0.85,99.162,1.245,0.803,0.969
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,759.208,0.724,100,1.717,0.582,0.934
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,704.682,0.781,97.992,1.066,0.938,0.943
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,211.446,0.878,100,1.451,0.689,0.949
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,586.472,0.891,99.645,1.023,0.977,0.961
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,693.027,0.826,99.459,1.293,0.773,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 006-1.tif,331.737,0.808,99.498,1.204,0.83,0.965
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,929.684,0.735,97.509,1.846,0.542,0.977
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,627.785,0.725,99.473,1.607,0.622,0.934
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,542.178,0.856,100,1.181,0.847,0.959
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,1059.542,0.824,98.946,1.489,0.671,0.966
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,1166.241,0.493,100,2.657,0.376,0.847
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,1438.364,0.887,99.827,1.171,0.854,0.974
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,539.697,0.748,99.157,1.737,0.576,0.952
Phoradendeon perrotettii,1,Phoradendeon perrotettii 1 - GC4841 x10 007-1.tif,489.242,0.789,100,1.513,0.661,0.964
