ssp;label;pic;PitDiameter;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;67.037;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;75.428;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 034.tif;68.961;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;65.736;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;56.717;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;54.795;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;58.65;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;63.832;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;70.903;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;59.949;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 035.tif;68.961;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;64.45;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;58.647;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;60.857;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;63.424;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;62.527;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 036.tif;54.17;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;56.128;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;64.527;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;59.462;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;57.966;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;64.909;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;68.45;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;60.963;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;64.768;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 037.tif;65.991;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 038.tif;66.117;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 038.tif;70.824;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 038.tif;56.102;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 038.tif;58.933;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;58.131;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;56.772;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;58.65;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;53.526;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;53.495;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;62.517;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;62.517;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;59.939;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;57.535;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;58.735;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;61.872;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;67.053;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;59.347;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;54.78;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 1;Psittacanthus robustus 1 - GC 4842 x100 039.tif;58.678;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;70.938;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;81.328;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;80.08;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;87.163;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;82.07;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 031(escala errada).tif;68.308;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 032(escala errada).tif;64.334;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 032(escala errada).tif;62.702;;;;;;;;
Psittacanthus robustus;Psittacanthus robustus 2;Psittacanthus robustus 2 - GC4842 x100 032(escala errada).tif;110.955;;;;;;;;
