ssp,indiv,pic,Area,Circ.,X.Area,AR,Round,Solidity,VesselDiameter
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,756.0031,0.881,99.774,1.104,0.906,0.96,31.0253612849612
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,428.34545,0.811,100,1.233,0.811,0.953,23.3535086389043
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1797.8541,0.377,98.719,1.078,0.928,0.876,47.8445287967626
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,831.94535,0.707,100,1.711,0.584,0.939,32.546362602886
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1201.4148,0.859,100,1.335,0.749,0.975,39.1112366589205
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,295.2328,0.682,100,2.352,0.425,0.909,19.3881942393532
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1665.5963,0.887,99.18,1.132,0.883,0.968,46.0510920036059
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,372.8827,0.741,100,2.183,0.458,0.93,21.7891945511443
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1174.9616,0.651,100,2.556,0.391,0.94,38.6782571048037
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,686.03455,0.739,100,2.097,0.477,0.953,29.5548019468003
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1052.94355,0.688,99.757,2.315,0.432,0.947,36.614879027983
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,741.4973,0.857,99.655,1.046,0.956,0.95,30.7262702694999
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1509.44575,0.801,99.378,1.778,0.562,0.967,43.8393204729775
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,458.20985,0.812,100,1.635,0.612,0.942,24.1539003228706
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,2056.39805,0.86,100,1.269,0.788,0.968,51.1692028174788
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,419.8113,0.86,100,1.508,0.663,0.955,23.1196961157944
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,407.86595,0.804,100,1.605,0.623,0.917,22.7883974094488
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,534.1521,0.755,97.923,1.781,0.561,0.937,26.0787955362845
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,725.2859,0.861,98.353,1.453,0.688,0.955,30.3885289067904
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,670.67595,0.887,100,1.261,0.793,0.959,29.2221002195739
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1974.4821,0.761,99.611,1.78,0.562,0.972,50.1396917630307
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1045.26425,0.919,100,1.144,0.874,0.971,36.4811153584693
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1270.5285,0.659,99.731,2.546,0.393,0.942,40.2204814604829
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,886.5553,0.809,99.23,1.641,0.609,0.96,33.597578284075
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,607.5339,0.849,97.753,1.48,0.676,0.949,27.812518516797
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,779.89585,0.905,100,1.35,0.741,0.975,31.5118110713244
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,1176.66925,0.603,96.519,3.005,0.333,0.948,38.7063537442351
Phoradendron perrotettii,Phoradendron perrotettii 1,Phoradendron perrotettii 1 - GC4841 x10 006-1.tif,479.54215,0.767,99.288,1.866,0.536,0.937,24.7097557403411
