ssp;label;pic;Count;Total Area;Average Size;%Area;Circ.;Solidity
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 009-1.tif;142;79073471;556.855;14.255;0.754;0.935
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 010-1.tif;150;78415575;522.77;16.396;0.742;0.929
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 011-1.tif;74;26410716;356.902;18.563;0.77;0.956
Tapirira guianensis;Tapirira guianensis 2;Tapirira guianensis 2 - GC4841 x10 007-1.tif;51;18163714;356.151;12.942;0.78;0.962
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 007-1.tif;177;223603812;1.263.298;13.249;0.81;0.943
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 008-1.tif;201;306620641;1.525.476;18.168;0.808;0.939
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 009-1.tif;192;276032616;1437.67;16.355;0.807;0.936
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 010-1.tif;173;321766409;1.859.921;19.065;0.789;0.937
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 011-1.tif;192;368707.69;1.920.353;21.846;0.8;0.943
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 001-1.tif;156;248772223;1.594.694;14.74;0.817;0.94
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 003-1.tif;153;219419842;1.434.117;13.001;0.832;0.949
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 004-1.tif;146;232206952;1.590.459;13.758;0.82;0.943
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 005-1.tif;142;252200.89;1.776.063;14.943;0.803;0.936
Tapirira guianensis;Tapirira guianensis3;Tapirira guianensis 3 - GC4841 x5 006-1.tif;156;191660884;1.228.595;11.356;0.812;0.935
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 001-1.tif;41;40989792;999.751;8.699;0.558;0.886
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 002-1.tif;37;51827556;1.400.745;10.999;0.549;0.894
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 003-1.tif;36;70053381;1.945.927;14.866;0.568;0.899
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 004-1.tif;26;62068449;2.387.248;13.172;0.641;0.942
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 005-1.tif;19;55130333;2.901.596;11.7;0.633;0.928
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 006-1.tif;48;62443887;1.300.914;13.252;0.649;0.907
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 007-1.tif;35;67455281;1.927.294;14.315;0.56;0.914
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 008-1.tif;44;69415719;1577.63;14.731;0.519;0.899
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 009-1.tif;40;65357073;1.633.927;13.87;0.568;0.907
Tipuana tipu;Tipuana tipu 1;Tipuana tipu - VSB25 x10 010-1.tif;66;64945838;984.028;13.783;0.6;0.893
Tipuana tipu;Tipuana tipu 2;Tipuana tipu - VSB26 x10 006-1.tif;52;126822823;2438.9;26.914;0.69;0.898
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 007-1.tif;28;94935953;3390.57;20.147;0.726;0.96
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 009-1.tif;39;119009792;3.051.533;25.256;0.744;0.941
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 010-1.tif;29;120906.13;4.169.177;25.658;0.752;0.967
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 011-1.tif;27;98469735;3.647.027;20.897;0.71;0.966
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 001-1.tif;17;77394824;4.552.637;16.424;0.798;0.971
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 002-1.tif;54;85889221;1.590.541;18.227;0.756;0.945
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 003-1.tif;34;96821885;2.847.703;20.547;0.762;0.961
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 004-1.tif;32;104986629;3.280.832;22.28;0.75;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB26 x10 005-1.tif;32;95050;2.970.312;20.171;0.76;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 001-1.tif;21;35785684;1704.08;7.594;0.761;0.954
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 002-1.tif;19;33267.5;1.750.921;7.06;0.771;0.956
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 003-1.tif;18;30139.54;1.674.419;6.396;0.801;0.957
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 004-1.tif;13;30516227;2.347.402;6.476;0.835;0.965
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 005-1.tif;9;20386052;2.265.117;4.326;0.683;0.887
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 006-1.tif;25;62140456;2.485.618;13.187;0.837;0.968
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 007-1.tif;12;32291.86;2.690.988;6.853;0.781;0.948
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 008-1.tif;15;48881073;3.258.738;10.373;0.717;0.944
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 009-1.tif;22;58679931;2667.27;12.453;0.796;0.964
Tipuana tipu;Tipuana tipu 3;Tipuana tipu - VSB27 x10 010-1.tif;14;31148.48;2.224.891;6.61;0.704;0.917
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 001-1.tif;63;193301969;3.068.285;8.63;0.787;0.944
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 002-1.tif;56;201060485;3.590.366;8.976;0.784;0.944
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 003-1.tif;51;173639976;3.404.705;7.752;0.724;0.941
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 004-1.tif;76;242583162;3.191.884;10.83;0.732;0.935
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 005-1.tif;86;263756337;3.066.934;11.775;0.703;0.921
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 006-1.tif;102;248621252;2.437.463;11.099;0.745;0.941
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 007-1.tif;75;186265832;2.483.544;8.316;0.738;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 008-1.tif;72;203672676;2.828.787;9.093;0.752;0.945
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 009-1.tif;71;211852994;2.983.845;9.458;0.762;0.947
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 010-1.tif;77;194417.92;2.524.908;8.68;0.726;0.936
Vochysia thyrsoidea;Vochysia thyrsoidea 1;Vochysia thyrsoidea 1 - GC 4842 x5 011-1.tif;85;166544057;1.959.342;7.435;0.756;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 001-1.tif;46;133254323;2.896.833;7.051;0.761;0.94
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 002-1.tif;53;126268612;2.382.427;6.682;0.734;0.929
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 003-1.tif;59;121978701;2.067.436;6.455;0.735;0.928
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 004-1.tif;29;86472591;2.981.813;4.576;0.752;0.938
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 005-1.tif;43;114475529;2.662.222;6.058;0.753;0.934
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 006-1.tif;55;133633237;2.429.695;7.071;0.733;0.932
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 007-1.tif;92;190144889;2.066.792;10.062;0.79;0.949
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 008-1.tif;36;81124391;2.253.455;4.293;0.796;0.952
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 009-1.tif;119;203361821;1.708.923;10.761;0.815;0.949
Vochysia thyrsoidea;Vochysia thyrsoidea 2;Vochysia thyrsoidea 2- GC 4842 x5 010-1.tif;45;98521067;2.189.357;5.213;0.749;0.933
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 002-1.tif;29;72095225;2.486.042;13.032;0.744;0.947
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 003-1.tif;22;53409358;2.427.698;9.654;0.715;0.937
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 004-1.tif;20;36904764;1.845.238;6.671;0.76;0.956
Vochysia thyrsoidea;Vochysia thyrsoidea 3;Vochysia thyrsoidea 3 - GC4842 x10 005-1.tif;29;32320386;1.114.496;5.842;0.767;0.948
